chara_id	face_type_code	chara_img_url
1	NORMAL	/wolf-mansion/app/images/geruto.png
2	NORMAL	/wolf-mansion/app/images/varuta.png
3	NORMAL	/wolf-mansion/app/images/moritu.png
4	NORMAL	/wolf-mansion/app/images/jimuzon.png
5	NORMAL	/wolf-mansion/app/images/tomasu.png
6	NORMAL	/wolf-mansion/app/images/nikorasu.png
7	NORMAL	/wolf-mansion/app/images/dhita.png
8	NORMAL	/wolf-mansion/app/images/peta.png
9	NORMAL	/wolf-mansion/app/images/riza.png
10	NORMAL	/wolf-mansion/app/images/arubin.png
11	NORMAL	/wolf-mansion/app/images/katarina.png
12	NORMAL	/wolf-mansion/app/images/otto.png
13	NORMAL	/wolf-mansion/app/images/yoahimu.png
14	NORMAL	/wolf-mansion/app/images/pamera.png
15	NORMAL	/wolf-mansion/app/images/yakobu.png
16	NORMAL	/wolf-mansion/app/images/rejina.png
17	NORMAL	/wolf-mansion/app/images/furideru.png
18	NORMAL	/wolf-mansion/app/images/eruna.png
19	NORMAL	/wolf-mansion/app/images/kurara.png
20	NORMAL	/wolf-mansion/app/images/shimon.png
22	NORMAL	https://wolfort.net/wmansion/2/01_5077_A.png
23	NORMAL	https://wolfort.net/wmansion/2/02_5077_A.png
24	NORMAL	https://wolfort.net/wmansion/2/03_5077_A.png
25	NORMAL	https://wolfort.net/wmansion/2/04_5077_A.png
26	NORMAL	https://wolfort.net/wmansion/2/05_5077_A.png
27	NORMAL	https://wolfort.net/wmansion/2/06_5077_A.png
28	NORMAL	https://wolfort.net/wmansion/2/07_5077_A.png
29	NORMAL	https://wolfort.net/wmansion/2/08_5077_A.png
30	NORMAL	https://wolfort.net/wmansion/2/09_5077_A.png
31	NORMAL	https://wolfort.net/wmansion/2/10_5077_A.png
32	NORMAL	https://wolfort.net/wmansion/2/11_5077_A.png
33	NORMAL	https://wolfort.net/wmansion/2/12_5077_A.png
34	NORMAL	https://wolfort.net/wmansion/2/13_5077_A.png
35	NORMAL	https://wolfort.net/wmansion/2/14_5077_A.png
36	NORMAL	https://wolfort.net/wmansion/2/15_5077_A.png
37	NORMAL	https://wolfort.net/wmansion/2/16_5077_A.png
38	NORMAL	https://wolfort.net/wmansion/2/17_5077_A.png
39	NORMAL	https://wolfort.net/wmansion/2/18_5077_A.png
40	NORMAL	https://wolfort.net/wmansion/2/19_5077_A.png
41	NORMAL	https://wolfort.net/wmansion/2/20_5077_A.png
42	NORMAL	https://wolfort.net/wmansion/2/21_5077_A.png
43	NORMAL	https://wolfort.net/wmansion/2/22_5077_A.png
44	NORMAL	https://wolfort.net/wmansion/2/23_5077_A.png
45	NORMAL	https://wolfort.net/wmansion/2/24_5077_A.png
46	NORMAL	https://wolfort.net/wmansion/2/25_5077_A.png
47	NORMAL	https://wolfort.net/wmansion/2/26_5077_A.png
48	NORMAL	https://wolfort.net/wmansion/2/27_5077_A.png
49	NORMAL	https://wolfort.net/wmansion/2/28_5077_A.png
50	NORMAL	https://wolfort.net/wmansion/2/29_5077_A.png
55	NORMAL	https://wolfort.net/wmansion/2/33_5077_A.png
56	NORMAL	https://wolfort.net/wmansion/2/34_5077_A.png
57	NORMAL	https://wolfort.net/wmansion/2/35_5077_A.png
58	NORMAL	https://wolfort.net/wmansion/2/36_5077_A.png
59	NORMAL	https://wolfort.net/wmansion/2/00_5077_A.png
60	NORMAL	https://wolfort.net/wmansion/3/01.png
61	NORMAL	https://wolfort.net/wmansion/3/02.png
62	NORMAL	https://wolfort.net/wmansion/3/03.png
63	NORMAL	https://wolfort.net/wmansion/3/04.png
64	NORMAL	https://wolfort.net/wmansion/3/05.png
65	NORMAL	https://wolfort.net/wmansion/3/06.png
66	NORMAL	https://wolfort.net/wmansion/3/07.png
67	NORMAL	https://wolfort.net/wmansion/3/08.png
68	NORMAL	https://wolfort.net/wmansion/3/09.png
69	NORMAL	https://wolfort.net/wmansion/3/10.png
70	NORMAL	https://wolfort.net/wmansion/3/11.png
71	NORMAL	https://wolfort.net/wmansion/3/12.png
72	NORMAL	https://wolfort.net/wmansion/3/13.png
73	NORMAL	https://wolfort.net/wmansion/3/14.png
74	NORMAL	https://wolfort.net/wmansion/3/15.png
75	NORMAL	https://wolfort.net/wmansion/3/16.png
76	NORMAL	https://wolfort.net/wmansion/3/17.png
77	NORMAL	https://wolfort.net/wmansion/3/18.png
78	NORMAL	https://wolfort.net/wmansion/3/19.png
79	NORMAL	https://wolfort.net/wmansion/3/20.png
80	NORMAL	https://wolfort.net/wmansion/3/21.png
81	NORMAL	https://wolfort.net/wmansion/3/22.png
82	NORMAL	https://wolfort.net/wmansion/3/23.png
83	NORMAL	https://wolfort.net/wmansion/3/24.png
84	NORMAL	/wolf-mansion/app/images/zodiac/ne.png
85	NORMAL	/wolf-mansion/app/images/zodiac/ushi.png
86	NORMAL	/wolf-mansion/app/images/zodiac/tora.png
87	NORMAL	/wolf-mansion/app/images/zodiac/usagi.png
88	NORMAL	/wolf-mansion/app/images/zodiac/tatsu.png
89	NORMAL	/wolf-mansion/app/images/zodiac/mi.png
90	NORMAL	/wolf-mansion/app/images/zodiac/uma.png
91	NORMAL	/wolf-mansion/app/images/zodiac/hitsuji.png
92	NORMAL	/wolf-mansion/app/images/zodiac/saru.png
93	NORMAL	/wolf-mansion/app/images/zodiac/tori.png
94	NORMAL	/wolf-mansion/app/images/zodiac/inu.png
95	NORMAL	/wolf-mansion/app/images/zodiac/inoshishi.png
96	NORMAL	/wolf-mansion/app/images/zodiac/ne.png
97	NORMAL	/wolf-mansion/app/images/zodiac/ushi.png
98	NORMAL	/wolf-mansion/app/images/zodiac/tora.png
99	NORMAL	/wolf-mansion/app/images/zodiac/usagi.png
100	NORMAL	/wolf-mansion/app/images/zodiac/tatsu.png
101	NORMAL	/wolf-mansion/app/images/zodiac/mi.png
102	NORMAL	/wolf-mansion/app/images/zodiac/uma.png
103	NORMAL	/wolf-mansion/app/images/zodiac/hitsuji.png
104	NORMAL	/wolf-mansion/app/images/zodiac/saru.png
105	NORMAL	/wolf-mansion/app/images/zodiac/tori.png
106	NORMAL	/wolf-mansion/app/images/zodiac/inu.png
107	NORMAL	/wolf-mansion/app/images/zodiac/inoshishi.png
108	NORMAL	/wolf-mansion/app/images/zodiac/ne.png
109	NORMAL	/wolf-mansion/app/images/zodiac/ushi.png
110	NORMAL	/wolf-mansion/app/images/zodiac/tora.png
111	NORMAL	/wolf-mansion/app/images/zodiac/usagi.png
112	NORMAL	/wolf-mansion/app/images/zodiac/tatsu.png
113	NORMAL	/wolf-mansion/app/images/zodiac/mi.png
114	NORMAL	/wolf-mansion/app/images/zodiac/uma.png
115	NORMAL	/wolf-mansion/app/images/zodiac/hitsuji.png
116	NORMAL	/wolf-mansion/app/images/zodiac/saru.png
117	NORMAL	/wolf-mansion/app/images/zodiac/tori.png
118	NORMAL	/wolf-mansion/app/images/zodiac/inu.png
119	NORMAL	/wolf-mansion/app/images/zodiac/inoshishi.png
